Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
AAPL,499.23,Put,320.00,03/19/21,203,7.90,8.13,8.35,7.90,3019,160,18.87,49.87%,08/28/20
BRK.B,218.55,Put,215.00,09/11/20,14,1.31,1.68,2.05,1.56,4460,239,18.66,18.03%,08/28/20
ROKU,172.85,Call,175.00,09/04/20,7,6.10,6.18,6.25,6.80,24054,1330,18.09,81.28%,08/28/20
MGM,23.86,Call,26.00,09/04/20,7,0.28,0.31,0.33,0.28,2475,140,17.68,73.18%,08/28/20
AR,3.5,Call,4.00,11/20/20,84,0.50,0.58,0.65,0.54,12082,715,16.9,107.18%,08/28/20
ROKU,172.85,Call,200.00,09/04/20,7,1.39,1.41,1.43,1.39,10044,599,16.77,90.09%,08/28/20
PTON,75.96,Call,77.00,09/04/20,7,2.45,2.57,2.69,2.58,2189,135,16.21,72.51%,08/28/20
PFE,37.91,Put,37.00,09/25/20,28,0.62,0.68,0.73,0.70,2582,161,16.04,26.90%,08/28/20
NTNX,28.03,Call,28.00,09/04/20,7,1.27,1.36,1.44,1.44,2287,145,15.77,91.87%,08/28/20
NTNX,28.03,Call,30.00,09/04/20,7,0.69,0.72,0.75,0.71,4657,297,15.68,93.05%,08/28/20
EPD,17.69,Call,18.00,10/02/20,35,0.49,0.55,0.61,0.55,2155,140,15.39,31.00%,08/28/20
ROKU,172.85,Call,172.50,08/28/20,0,0.19,1.35,2.50,0.30,14998,986,15.21,0.00%,08/28/20
NFLX,523.89,Call,530.00,12/18/20,112,57.00,58.33,59.65,58.01,1744,115,15.17,51.66%,08/28/20
FB,293.66,Call,292.50,09/04/20,7,8.10,8.18,8.25,8.10,2820,192,14.69,46.09%,08/28/20
RCL,70.12,Call,75.00,09/04/20,7,1.26,1.31,1.36,1.31,7353,501,14.68,78.99%,08/28/20
SBUX,85,Call,85.00,09/11/20,14,1.82,1.97,2.12,1.93,3839,272,14.11,28.70%,08/28/20
LYFT,30.77,Call,30.00,09/04/20,7,1.27,1.3,1.33,1.31,8713,634,13.74,51.58%,08/28/20
NCLH,17.69,Put,17.50,09/04/20,7,0.78,0.82,0.85,0.80,1631,119,13.71,92.06%,08/28/20
WDAY,243.88,Call,250.00,09/04/20,7,4.45,4.73,5.00,4.70,4813,354,13.6,53.75%,08/28/20
CARR,30.3,Put,30.00,09/18/20,21,0.50,0.85,1.20,0.90,2436,180,13.53,36.60%,08/28/20
SNAP,22.31,Put,21.00,09/04/20,7,0.22,0.23,0.23,0.23,33250,2468,13.47,58.54%,08/28/20
CHWY,59.73,Put,56.00,09/04/20,7,0.58,0.59,0.60,0.60,2741,204,13.44,60.07%,08/28/20
ROKU,172.85,Call,182.50,09/04/20,7,3.40,3.6,3.80,3.70,1514,116,13.05,76.96%,08/28/20
DKNG,36.32,Put,37.00,09/04/20,7,1.95,2.03,2.10,2.05,2910,227,12.82,83.72%,08/28/20
ROKU,172.85,Call,172.50,09/04/20,7,7.10,7.28,7.45,7.25,4317,343,12.59,73.92%,08/28/20
MOS,18.91,Call,19.00,09/04/20,7,0.44,0.46,0.49,0.47,5754,459,12.54,48.82%,08/28/20
NCLH,17.69,Call,17.50,09/11/20,14,1.32,1.4,1.48,1.34,2517,201,12.52,90.15%,08/28/20
MDT,107.86,Put,85.00,02/19/21,175,1.81,2.02,2.23,2.34,1600,130,12.31,37.88%,08/28/20
ROKU,172.85,Put,165.00,09/04/20,7,3.60,3.65,3.70,3.35,2080,169,12.31,70.30%,08/28/20
BRK.B,218.55,Put,215.00,09/04/20,7,0.80,0.85,0.90,0.94,4860,403,12.06,19.30%,08/28/20
INTC,50.43,Put,48.50,09/04/20,7,0.19,0.2,0.20,0.20,17775,1490,11.93,30.60%,08/28/20
WMT,140.3,Call,149.00,09/04/20,7,0.92,0.95,0.97,0.97,1756,148,11.86,48.12%,08/28/20
TGT,150.85,Put,145.00,09/11/20,14,0.81,0.87,0.92,0.90,1511,128,11.8,25.72%,08/28/20
MGM,23.86,Call,25.00,09/04/20,7,0.49,0.51,0.53,0.50,8871,753,11.78,71.34%,08/28/20
NTNX,28.03,Call,47.50,01/21/22,511,2.48,2.99,3.50,3.25,2008,171,11.74,58.33%,08/28/20
IQ,21.43,Call,20.50,09/04/20,7,1.24,1.31,1.37,1.30,1740,149,11.68,63.91%,08/28/20
BIDU,129,Call,150.00,10/16/20,49,1.42,1.46,1.49,1.49,4405,379,11.62,38.69%,08/28/20
CL,79.37,Call,79.50,08/28/20,0,0.00,0.01,0.01,0.14,2165,188,11.52,0.00%,08/28/20
GPS,17.54,Put,18.00,08/28/20,0,0.41,0.45,0.50,0.50,1345,117,11.5,0.00%,08/28/20
TSLA,2211.84,Call,2275.00,09/04/20,7,91.05,95,98.95,95.20,4186,381,10.99,99.30%,08/28/20
IQ,21.43,Call,21.00,08/28/20,0,0.34,0.42,0.49,0.41,3855,351,10.98,0.00%,08/28/20
ROKU,172.85,Call,190.00,09/04/20,7,2.31,2.66,3.00,2.84,9223,841,10.97,88.86%,08/28/20
NVDA,525.91,Put,525.00,08/28/20,0,0.00,0.59,1.18,0.26,3466,319,10.87,0.00%,08/28/20
WDC,37.84,Call,40.00,09/04/20,7,0.29,0.31,0.33,0.30,3009,281,10.71,48.38%,08/28/20
ROKU,172.85,Call,180.00,09/04/20,7,4.40,4.45,4.50,4.50,24514,2319,10.57,77.23%,08/28/20
SQ,155.93,Put,150.00,09/04/20,7,2.00,2.05,2.10,2.13,15387,1461,10.53,53.28%,08/28/20
WDAY,243.88,Call,245.00,08/28/20,0,0.01,0.14,0.26,0.17,8807,837,10.52,0.00%,08/28/20
TSLA,2211.84,Put,2200.00,08/28/20,0,0.20,0.25,0.29,0.21,44119,4218,10.46,0.00%,08/28/20
TMO,424.48,Put,400.00,10/16/20,49,7.70,9.4,11.10,11.50,1229,119,10.33,36.35%,08/28/20
DKNG,36.32,Put,34.50,09/04/20,7,0.80,0.85,0.90,0.80,2661,262,10.16,79.08%,08/28/20
SBUX,85,Call,84.50,09/04/20,7,1.67,1.71,1.75,1.70,3142,310,10.14,30.38%,08/28/20
GOOGL,1639.43,Call,1640.00,08/28/20,0,0.00,0.15,0.30,0.20,2299,229,10.04,0.00%,08/28/20
CS,11.2,Put,11.00,03/19/21,203,1.05,1.13,1.20,1.10,1000,100,10,37.86%,08/28/20
TSM,80.44,Put,70.00,04/16/21,231,4.80,4.93,5.05,5.00,1677,168,9.98,40.40%,08/28/20
CCL,17.21,Put,17.00,09/04/20,7,0.70,0.71,0.72,0.68,5540,555,9.98,82.89%,08/28/20
AAPL,499.23,Call,750.00,10/16/20,49,2.85,2.92,2.98,2.95,4290,434,9.88,66.41%,08/28/20
MPC,37.09,Put,34.00,09/18/20,21,0.58,0.66,0.74,0.69,1148,117,9.81,54.35%,08/28/20
DELL,66.21,Put,65.00,09/18/20,21,1.80,2,2.19,1.90,1599,163,9.81,39.57%,08/28/20
DOCU,215.24,Call,222.50,09/04/20,7,10.50,10.73,10.95,10.65,1627,166,9.8,115.54%,08/28/20
NCLH,17.69,Call,19.00,09/04/20,7,0.42,0.46,0.50,0.42,9712,1002,9.69,91.91%,08/28/20
TWTR,41.07,Call,46.00,09/04/20,7,0.10,0.11,0.11,0.11,1518,157,9.67,56.17%,08/28/20
TOL,42.96,Put,43.00,09/04/20,7,1.00,1.08,1.15,1.07,1138,119,9.56,44.49%,08/28/20
ULTA,237.02,Call,300.00,09/04/20,7,0.15,0.25,0.35,0.21,1217,128,9.51,81.94%,08/28/20
WORK,31.91,Put,32.00,09/04/20,7,1.02,1.06,1.10,1.05,1085,115,9.43,57.18%,08/28/20
TSLA,2211.84,Call,2500.00,12/18/20,112,294.00,302.65,311.30,302.60,3495,371,9.42,82.76%,08/28/20
MA,366.12,Call,365.00,08/28/20,0,0.79,1.31,1.82,1.54,3244,346,9.38,0.00%,08/28/20
C,52.28,Call,65.00,10/16/20,49,0.26,0.29,0.31,0.26,3704,397,9.33,39.79%,08/28/20
PLAY,17.54,Call,17.00,08/28/20,0,0.30,0.45,0.60,0.54,1202,129,9.32,0.00%,08/28/20
ETSY,119.66,Put,119.00,09/04/20,7,3.25,3.43,3.60,3.55,1009,109,9.26,58.99%,08/28/20
PTON,75.96,Call,85.00,09/04/20,7,0.85,0.87,0.88,0.84,2302,250,9.21,84.27%,08/28/20
PTON,75.96,Call,77.50,09/04/20,7,2.25,2.4,2.54,2.35,912,100,9.12,71.96%,08/28/20
MCD,214.91,Call,135.00,01/15/21,140,79.50,79.9,80.30,80.50,2160,238,9.08,0.00%,08/28/20
SBUX,85,Call,87.50,09/04/20,7,0.66,0.68,0.70,0.67,1131,125,9.05,33.89%,08/28/20
MSFT,228.91,Call,280.00,11/20/20,84,4.40,4.88,5.35,4.60,2243,248,9.04,42.76%,08/28/20
WDAY,243.88,Call,255.00,09/04/20,7,2.95,3.33,3.70,3.32,1134,126,9,55.18%,08/28/20
DNKN,76.93,Call,65.00,09/18/20,21,11.30,12.35,13.40,12.12,1322,147,8.99,41.82%,08/28/20
CCL,17.21,Call,18.00,09/04/20,7,0.50,0.53,0.55,0.54,11017,1227,8.98,90.26%,08/28/20
SKT,5.95,Call,7.00,10/16/20,49,0.24,0.25,0.25,0.38,2315,261,8.87,84.34%,08/28/20
BABA,289,Call,277.50,09/04/20,7,14.30,14.53,14.75,14.92,2039,231,8.83,49.87%,08/28/20
WMT,140.3,Call,160.00,10/02/20,35,1.02,1.08,1.14,1.08,1046,119,8.79,36.81%,08/28/20
TSLA,2211.84,Call,2325.00,09/04/20,7,74.00,78.53,83.05,77.92,1482,172,8.62,100.15%,08/28/20
ROKU,172.85,Call,200.00,09/11/20,14,2.04,2.38,2.72,2.28,893,105,8.5,74.58%,08/28/20
MCD,214.91,Call,140.00,01/15/21,140,74.50,74.9,75.30,75.55,11602,1381,8.4,0.00%,08/28/20
SNAP,22.31,Put,22.00,09/11/20,14,0.71,0.77,0.83,0.78,1354,162,8.36,53.91%,08/28/20
TSLA,2211.84,Put,2190.00,08/28/20,0,0.03,0.12,0.20,0.15,6994,841,8.32,0.00%,08/28/20
INTC,50.43,Put,50.00,12/18/20,112,3.45,3.73,4.00,3.70,6272,755,8.31,36.40%,08/28/20
DIS,135.54,Call,150.00,09/04/20,7,0.13,0.2,0.27,0.19,2962,357,8.3,44.71%,08/28/20
CRM,271.1,Call,330.00,10/16/20,49,3.50,3.75,4.00,3.90,3637,438,8.3,49.45%,08/28/20
NKLA,41.35,Call,38.50,09/04/20,7,3.90,4,4.10,4.00,2617,317,8.26,104.00%,08/28/20
PTON,75.96,Call,100.00,09/04/20,7,0.13,0.17,0.20,0.17,1188,144,8.25,108.08%,08/28/20
AAPL,499.23,Call,570.00,09/25/20,28,7.50,7.68,7.85,7.65,3922,476,8.24,52.32%,08/28/20
STNG,11.73,Call,11.00,10/16/20,49,1.60,1.7,1.80,1.66,1383,169,8.18,75.46%,08/28/20
GOOG,1644.41,Call,1640.00,12/18/20,112,141.90,145.95,150.00,138.72,1554,191,8.14,36.69%,08/28/20
ULTA,237.02,Call,255.00,09/04/20,7,1.30,1.53,1.75,1.60,968,119,8.13,53.90%,08/28/20
MU,45.69,Call,60.00,04/16/21,231,1.84,2.31,2.77,2.30,1015,125,8.12,43.45%,08/28/20
ROKU,172.85,Call,185.00,09/04/20,7,3.10,3.23,3.35,3.20,4196,517,8.12,79.00%,08/28/20
DIS,135.54,Put,136.00,08/28/20,0,0.29,0.5,0.71,0.49,2718,335,8.11,0.00%,08/28/20
SNAP,22.31,Put,22.50,09/04/20,7,0.74,0.78,0.81,0.80,1284,159,8.08,56.94%,08/28/20
TSLA,2211.84,Call,2475.00,09/04/20,7,45.00,45.53,46.05,45.70,863,107,8.07,107.29%,08/28/20
KO,49.83,Call,50.50,09/04/20,7,0.35,0.37,0.38,0.36,1201,150,8.01,22.90%,08/28/20
NVDA,525.91,Call,520.00,08/28/20,0,5.50,5.88,6.25,5.90,37580,4727,7.95,0.00%,08/28/20
COST,348.37,Call,375.00,09/18/20,21,0.73,0.78,0.84,0.75,3565,449,7.94,22.14%,08/28/20
MA,366.12,Put,350.00,09/04/20,7,0.77,0.85,0.92,0.90,841,106,7.93,28.69%,08/28/20
WFC,24.69,Call,30.00,11/20/20,84,0.51,0.53,0.55,0.51,18451,2339,7.89,42.30%,08/28/20
AAPL,499.23,Call,545.00,09/04/20,7,2.34,2.41,2.48,2.44,2971,380,7.82,54.75%,08/28/20
MCD,214.91,Call,110.00,01/21/22,511,104.00,104.9,105.80,106.65,871,112,7.78,0.00%,08/28/20
WMT,140.3,Call,141.00,09/04/20,7,2.80,2.82,2.83,2.83,8296,1073,7.73,40.53%,08/28/20
MCD,214.91,Call,145.00,01/15/21,140,69.50,69.9,70.30,70.70,980,127,7.72,10.92%,08/28/20
MRNA,67.49,Call,90.00,11/20/20,84,7.50,7.65,7.80,7.80,2998,391,7.67,112.39%,08/28/20
PTON,75.96,Put,45.00,01/21/22,511,7.60,7.9,8.20,7.70,1089,143,7.62,73.40%,08/28/20
PLT,12.74,Put,12.50,09/18/20,21,0.85,0.9,0.95,0.90,776,102,7.61,84.69%,08/28/20
WFC,24.69,Call,25.00,11/20/20,84,1.86,1.92,1.97,1.95,20560,2708,7.59,43.47%,08/28/20
TSLA,2211.84,Put,2230.00,09/04/20,7,121.35,128.68,136.00,128.86,766,101,7.58,98.69%,08/28/20
NCLH,17.69,Put,16.00,09/11/20,14,0.50,0.51,0.52,0.51,1288,170,7.58,88.98%,08/28/20
CRM,271.1,Call,272.50,09/04/20,7,6.45,6.83,7.20,6.80,1849,244,7.58,49.57%,08/28/20
MA,366.12,Put,300.00,11/20/20,84,3.70,4.05,4.40,4.00,1034,137,7.55,37.91%,08/28/20
INTC,50.43,Put,50.50,09/04/20,7,0.81,0.84,0.87,0.83,879,117,7.51,28.77%,08/28/20
Z,87.32,Call,95.00,09/04/20,7,0.50,0.55,0.60,0.51,1970,263,7.49,56.33%,08/28/20
PTON,75.96,Call,76.00,09/04/20,7,2.95,3.03,3.10,3.00,2323,310,7.49,71.72%,08/28/20
MDT,107.86,Call,107.00,09/18/20,21,3.15,3.22,3.30,3.30,2811,379,7.42,27.23%,08/28/20
TEAM,192.43,Call,220.00,10/16/20,49,3.80,4.35,4.90,4.70,1273,172,7.4,47.85%,08/28/20
ORCL,57.88,Call,61.00,09/18/20,21,1.02,1.18,1.34,1.07,4672,631,7.4,40.18%,08/28/20
AMZN,3401.8,Call,3420.00,08/28/20,0,0.01,0.03,0.04,0.10,7055,953,7.4,0.00%,08/28/20
WMT,140.3,Put,139.00,09/04/20,7,2.30,2.4,2.49,2.36,745,101,7.38,38.67%,08/28/20
MCD,214.91,Call,125.00,01/15/21,140,89.50,89.9,90.30,91.45,760,103,7.38,50.46%,08/28/20
OXY,13.13,Call,13.00,11/20/20,84,1.64,1.71,1.79,1.75,2973,403,7.38,66.82%,08/28/20
APHA,4.69,Call,4.00,08/28/20,0,0.66,0.8,0.95,0.71,1839,251,7.33,0.00%,08/28/20
MOMO,21.19,Call,21.50,09/04/20,7,1.01,1.14,1.27,1.06,1340,183,7.32,102.35%,08/28/20
V,215.71,Call,222.50,09/18/20,21,2.44,2.55,2.67,2.50,760,105,7.24,24.52%,08/28/20
TSLA,2211.84,Put,2250.00,08/28/20,0,31.50,35.6,39.70,38.48,14128,1955,7.23,0.00%,08/28/20
BAC,26.3,Put,26.50,09/18/20,21,1.04,1.06,1.08,1.10,829,115,7.21,39.98%,08/28/20
UNH,314.37,Put,260.00,10/16/20,49,2.75,3.15,3.55,2.92,865,121,7.15,45.39%,08/28/20
UAL,37.34,Put,34.00,10/16/20,49,2.22,2.51,2.80,2.79,721,101,7.14,82.55%,08/28/20
ROKU,172.85,Call,205.00,09/04/20,7,0.98,1.05,1.11,1.10,942,132,7.14,94.12%,08/28/20
DAL,31.99,Put,31.00,09/04/20,7,0.54,0.57,0.59,0.56,1446,203,7.12,56.32%,08/28/20
WYNN,91.55,Call,105.00,09/04/20,7,0.60,0.65,0.70,0.61,1079,152,7.1,81.69%,08/28/20
MCD,214.91,Call,120.00,01/15/21,140,94.50,94.9,95.30,96.45,760,108,7.04,54.07%,08/28/20
TSLA,2211.84,Call,2300.00,09/04/20,7,85.00,86,87.00,86.00,11972,1707,7.01,99.56%,08/28/20
GPS,17.54,Call,19.50,09/04/20,7,0.10,0.14,0.18,0.12,1688,241,7,69.03%,08/28/20
PCG,9.13,Call,9.50,09/18/20,21,0.22,0.23,0.23,0.22,11033,1584,6.97,41.92%,08/28/20
PTON,75.96,Call,77.00,09/18/20,21,6.55,6.65,6.75,6.70,1559,224,6.96,98.32%,08/28/20
AEO,12.34,Put,12.00,09/18/20,21,0.80,0.83,0.85,0.85,833,120,6.94,87.42%,08/28/20
KO,49.83,Put,49.00,09/04/20,7,0.29,0.31,0.32,0.29,830,121,6.86,22.84%,08/28/20
ROKU,172.85,Call,170.00,08/28/20,0,2.50,2.75,3.00,2.79,30532,4462,6.84,0.00%,08/28/20
MCD,214.91,Call,175.00,09/18/20,21,38.90,40.53,42.15,40.50,2082,305,6.83,50.76%,08/28/20
DIS,135.54,Call,141.00,09/04/20,7,0.65,0.75,0.84,0.68,1688,248,6.81,32.91%,08/28/20
WORK,31.91,Call,45.00,09/11/20,14,0.37,0.38,0.38,0.37,1562,230,6.79,127.94%,08/28/20
NVDA,525.91,Call,512.50,09/04/20,7,20.65,21.05,21.45,20.95,1007,149,6.76,45.57%,08/28/20
NCLH,17.69,Call,18.00,09/18/20,21,1.45,1.54,1.62,1.65,3812,564,6.76,105.35%,08/28/20
AMZN,3401.8,Put,3390.00,08/28/20,0,0.02,0.13,0.24,0.15,4047,603,6.71,0.00%,08/28/20
DKNG,36.32,Call,38.00,09/04/20,7,0.95,1.03,1.10,0.95,5815,867,6.71,80.54%,08/28/20
BABA,289,Put,290.00,09/04/20,7,8.25,8.33,8.40,8.33,1043,156,6.69,49.18%,08/28/20
NKLA,41.35,Put,45.00,09/04/20,7,4.40,4.7,5.00,4.65,1103,165,6.68,101.07%,08/28/20
ORCL,57.88,Put,52.00,09/18/20,21,0.41,0.48,0.54,0.41,1373,207,6.63,42.33%,08/28/20
NTNX,28.03,Call,30.00,09/11/20,14,0.84,0.92,1.00,0.88,702,106,6.62,74.17%,08/28/20
NVDA,525.91,Put,515.00,09/04/20,7,8.75,9.08,9.40,9.18,1133,172,6.59,48.78%,08/28/20
CRM,271.1,Put,262.50,09/04/20,7,3.05,3.35,3.65,3.50,1046,159,6.58,47.51%,08/28/20
MCD,214.91,Call,130.00,01/15/21,140,84.50,84.9,85.30,86.50,760,116,6.55,47.56%,08/28/20
WMT,140.3,Put,138.00,09/04/20,7,1.84,1.89,1.94,1.90,1631,249,6.55,38.02%,08/28/20
AMZN,3401.8,Put,3380.00,08/28/20,0,0.01,0.02,0.02,0.13,3849,589,6.53,0.00%,08/28/20
GS,207.71,Call,125.00,01/15/21,140,81.80,82.5,83.20,83.95,1360,209,6.51,44.20%,08/28/20
CVNA,218.44,Call,217.50,08/28/20,0,0.60,1.09,1.58,0.96,671,104,6.45,0.00%,08/28/20
FB,293.66,Put,292.50,09/04/20,7,6.85,6.95,7.05,7.08,1163,181,6.43,47.49%,08/28/20
MSFT,228.91,Put,222.50,09/04/20,7,2.18,2.31,2.43,2.30,4559,710,6.42,39.05%,08/28/20
IQ,21.43,Call,22.00,09/04/20,7,0.57,0.59,0.60,0.59,2152,336,6.4,70.22%,08/28/20
SHAK,67.45,Put,57.50,09/18/20,21,0.56,0.66,0.75,0.62,1008,158,6.38,60.76%,08/28/20
NVDA,525.91,Call,515.00,08/28/20,0,9.20,10.1,11.00,10.10,18759,2944,6.37,0.00%,08/28/20
ABT,110.79,Put,107.00,09/04/20,7,0.00,0.45,0.90,0.63,970,153,6.34,32.95%,08/28/20
WDAY,243.88,Call,265.00,09/04/20,7,1.75,1.9,2.05,1.84,728,115,6.33,60.79%,08/28/20
NVDA,525.91,Call,560.00,09/04/20,7,4.10,4.2,4.30,4.25,3000,474,6.33,52.45%,08/28/20
AMZN,3401.8,Put,3400.00,08/28/20,0,0.12,0.46,0.80,0.53,6375,1012,6.3,0.00%,08/28/20
DIS,135.54,Call,137.00,09/04/20,7,1.56,1.61,1.66,1.64,6185,984,6.29,30.29%,08/28/20
AMZN,3401.8,Put,3420.00,08/28/20,0,14.95,18.17,21.40,19.15,1969,314,6.27,0.00%,08/28/20
BA,175.8,Put,177.50,09/04/20,7,5.85,5.95,6.05,5.88,1540,246,6.26,51.38%,08/28/20
MCD,214.91,Call,180.00,09/18/20,21,33.85,35.03,36.20,36.25,7148,1142,6.26,56.60%,08/28/20
EBAY,54.27,Call,59.00,09/11/20,14,0.23,0.24,0.25,0.25,1655,265,6.25,36.70%,08/28/20
NTNX,28.03,Call,26.00,08/28/20,0,1.56,2.61,3.65,1.75,1210,194,6.24,0.00%,08/28/20
PTON,75.96,Call,90.00,09/04/20,7,0.44,0.47,0.50,0.47,5497,882,6.23,93.04%,08/28/20
NVDA,525.91,Call,525.00,09/04/20,7,14.20,14.4,14.60,14.50,9625,1548,6.22,48.11%,08/28/20
V,215.71,Call,235.00,10/16/20,49,2.22,2.53,2.83,2.28,994,160,6.21,26.18%,08/28/20
NKLA,41.35,Put,39.50,09/04/20,7,1.25,1.45,1.65,1.50,676,109,6.2,103.67%,08/28/20
LRCX,350.78,Call,350.00,08/28/20,0,0.33,0.7,1.06,0.33,1134,183,6.2,0.00%,08/28/20
MCD,214.91,Call,165.00,09/18/20,21,48.65,49.83,51.00,50.40,2641,427,6.19,59.97%,08/28/20
PFE,37.91,Call,37.50,09/18/20,21,1.09,1.15,1.20,1.19,878,142,6.18,26.41%,08/28/20
LLY,147.34,Call,155.00,09/25/20,28,1.37,1.77,2.17,1.70,1015,165,6.15,26.86%,08/28/20
ULTA,237.02,Put,220.00,09/04/20,7,1.20,1.4,1.60,1.37,626,102,6.14,53.33%,08/28/20
MCD,214.91,Call,160.00,09/18/20,21,54.25,55.18,56.10,55.25,2605,424,6.14,60.28%,08/28/20
CZR,49.05,Put,50.00,09/18/20,21,3.50,3.73,3.95,4.05,1927,315,6.12,75.65%,08/28/20
PLAY,17.54,Call,16.50,09/04/20,7,1.60,1.7,1.80,1.50,1576,259,6.08,93.78%,08/28/20
CSCO,42.2,Call,41.50,09/04/20,7,0.91,0.93,0.94,0.91,1570,259,6.06,20.36%,08/28/20
TDOC,208.57,Put,185.00,09/04/20,7,0.45,0.65,0.85,0.60,986,163,6.05,61.56%,08/28/20
NKLA,41.35,Call,41.50,09/04/20,7,2.10,2.15,2.20,2.15,1540,255,6.04,97.01%,08/28/20
AMD,85.55,Call,86.00,09/04/20,7,1.99,2.02,2.04,2.02,22028,3654,6.03,46.99%,08/28/20
WYNN,91.55,Call,105.00,10/16/20,49,4.35,4.48,4.60,4.51,1406,234,6.01,68.08%,08/28/20
DIS,135.54,Call,138.00,09/04/20,7,1.24,1.28,1.31,1.26,5254,876,6,30.01%,08/28/20
MCD,214.91,Call,170.00,09/18/20,21,43.90,45.47,47.05,44.85,2600,434,5.99,0.00%,08/28/20
BIDU,129,Call,130.00,09/11/20,14,2.93,3.09,3.25,3.00,657,110,5.97,34.04%,08/28/20
ROKU,172.85,Call,170.00,09/04/20,7,8.30,8.55,8.80,7.75,9876,1653,5.97,65.42%,08/28/20
BABA,289,Call,302.50,09/04/20,7,2.90,3.1,3.30,3.17,1121,188,5.96,50.13%,08/28/20
WMT,140.3,Call,142.00,09/11/20,14,3.25,3.35,3.45,3.25,1231,207,5.95,36.35%,08/28/20
INTC,50.43,Call,51.50,09/18/20,21,0.96,0.98,1.00,0.97,2607,438,5.95,29.22%,08/28/20
AMD,85.55,Call,97.00,09/04/20,7,0.17,0.19,0.21,0.21,805,136,5.92,59.53%,08/28/20
WDC,37.84,Call,39.00,09/04/20,7,0.48,0.5,0.52,0.52,864,146,5.92,46.67%,08/28/20
TSLA,2211.84,Put,2300.00,08/28/20,0,82.00,86.75,91.50,86.37,4101,693,5.92,0.00%,08/28/20
MU,45.69,Call,46.00,09/04/20,7,0.87,0.89,0.90,0.90,19461,3294,5.91,41.14%,08/28/20
GPS,17.54,Put,18.50,08/28/20,0,0.89,0.95,1.00,1.00,611,104,5.88,0.00%,08/28/20
FSLY,94.67,Call,94.00,09/04/20,7,5.20,5.35,5.50,5.50,747,127,5.88,98.79%,08/28/20
